Year,Region,Region_Code,Population_M,GDP_per_capita_Lakh,Urbanization_Rate,Devices_Per_Person,Recycling_Rate,Ewaste_Tons
2017,Uttar Pradesh,UP,224.56,4.83,56.53,2.04,14.9,444.53
2012,Mizoram,MZ,1.88,1.66,35.45,1.11,8.47,0.42
2017,West Bengal,WB,81.72,1.41,59.3,2.21,12.85,58.97
2006,Uttarakhand,UK,11.66,2.18,33.6,0.43,10.72,1.38
2021,Himachal Pradesh,HP,14.07,2.67,48.04,0.81,17.52,5.29
2012,Jharkhand,JH,28.38,3.28,28.76,1.79,16.33,17.03
2014,Kerala,KL,29.88,2.17,68.59,1.72,8.65,29.05
2019,Bihar,BR,109.55,1.74,65.95,1.96,20.33,82.88
2007,Himachal Pradesh,HP,11.71,0.91,64.34,0.75,9.58,2.04
2022,Tamil Nadu,TN,75.17,4.32,56.48,3.66,19.25,249.7
2020,Uttar Pradesh,UP,228.81,3.61,38.92,0.74,11.46,83.2
2005,Odisha,OR,38.92,2.04,36.65,0.58,15.71,5.6
2009,Gujarat,GJ,51.66,0.85,44.2,1.4,13.07,9.84
2016,Tripura,TR,3.92,0.99,23.11,0.64,10.47,0.23
2023,Punjab,PB,32.28,3.61,46.39,3.29,14.53,66.48
2011,Uttar Pradesh,UP,207.57,3.48,23.82,1.38,7.84,92.21
2012,Madhya Pradesh,MP,67.68,3.28,62.41,1.3,17.92,58.17
2008,Madhya Pradesh,MP,64.58,2.98,42.19,0.3,14.23,8.26
2023,Karnataka,KA,64.54,3.41,75.26,3.44,25.05,196.91
2021,Sikkim,SK,2.11,2.15,42.0,1.95,13.73,1.42
2005,Gujarat,GJ,50.3,1.93,52.61,1.17,11.11,21.44
2006,Arunachal Pradesh,AR,2.26,1.09,46.4,0.75,17.58,0.29
2011,Bihar,BR,100.63,2.17,56.7,1.06,11.63,51.46
2018,Goa,GA,2.7,1.19,30.05,1.86,17.11,0.66
2014,Bihar,BR,102.9,1.87,43.62,0.83,17.32,26.39
2024,Andhra Pradesh,AP,52.9,4.79,46.44,2.29,23.26,81.71
2022,Odisha,OR,47.66,2.63,68.95,1.89,13.36,57.98
2013,Tamil Nadu,TN,65.91,2.13,59.08,1.07,11.95,29.23
2006,Sikkim,SK,1.72,0.8,41.36,1.16,3.93,0.26
2013,Gujarat,GJ,55.62,3.37,29.86,1.92,11.04,37.95
2011,Himachal Pradesh,HP,12.57,2.22,42.14,1.38,7.17,5.95
2016,West Bengal,WB,82.11,1.88,45.67,0.45,21.83,11.9
2009,Sikkim,SK,1.79,1.68,47.96,0.82,16.54,0.37
2024,Uttar Pradesh,UP,246.79,7.58,36.75,2.61,15.21,571.37
2006,Mizoram,MZ,1.75,1.1,48.87,0.91,12.93,0.33
2010,Rajasthan,RJ,57.55,1.61,60.92,0.97,10.01,19.05
2019,Gujarat,GJ,59.51,4.51,46.75,0.66,19.94,26.22
2007,Madhya Pradesh,MP,63.46,2.25,62.29,0.86,5.63,27.83
2006,Sikkim,SK,1.71,0.8,41.02,1.15,3.93,0.26
2013,Jammu & Kashmir,JK,15.06,2.11,45.32,1.56,19.85,7.07
2006,Gujarat,GJ,50.99,1.14,68.39,1.08,3.36,18.63
2005,Kerala,KL,25.71,1.03,68.63,0.66,5.82,4.65
2007,Delhi,DL,14.06,0.63,35.69,0.29,16.92,0.33
2009,Nagaland,NL,2.38,2.11,27.66,0.29,10.92,0.13
2015,Chhattisgarh,CG,25.43,1.39,31.33,1.72,12.67,6.5
2015,Andhra Pradesh,AP,48.41,2.17,33.89,0.91,20.06,10.33
2021,Tamil Nadu,TN,71.98,3.38,62.43,2.35,21.7,127.2
2005,Bihar,BR,90.3,0.83,35.21,0.93,16.2,8.08
2022,West Bengal,WB,87.68,4.93,65.21,2.72,13.13,273.02
2015,Uttarakhand,UK,13.24,1.27,65.89,1.16,6.91,5.2
2012,Gujarat,GJ,54.87,2.02,29.2,0.52,16.51,5.92
2019,Bihar,BR,110.26,1.75,65.62,1.96,20.18,83.02
2006,Odisha,OR,38.61,1.91,30.49,0.32,14.18,2.69
2021,West Bengal,WB,87.15,4.4,64.32,1.62,9.21,149.28
2006,Uttar Pradesh,UP,196.11,3.75,41.42,0.63,17.98,73.12
2024,Odisha,OR,48.06,5.88,66.24,0.86,11.93,61.29
2014,Maharashtra,MH,118.52,2.04,64.49,1.44,19.17,72.66
2010,Madhya Pradesh,MP,66.72,1.24,62.16,0.54,5.97,9.81
2022,Nagaland,NL,2.82,1.79,38.46,0.65,22.47,0.47
2011,Uttarakhand,UK,12.31,2.02,43.91,1.41,17.15,5.58
2009,Meghalaya,ML,3.62,0.92,61.92,1.12,12.37,0.77
2009,Bihar,BR,96.17,1.81,67.19,1.28,8.91,59.39
2010,Delhi,DL,14.5,1.73,46.68,1.32,19.62,5.66
2006,Meghalaya,ML,3.46,1.88,36.51,0.99,3.5,0.86
2005,Odisha,OR,38.88,2.05,36.64,0.58,15.6,5.87
2012,Sikkim,SK,1.9,0.8,43.39,1.1,9.18,0.26
2013,Assam,AS,30.22,1.78,65.65,1.72,17.31,22.95
2014,Mizoram,MZ,1.94,3.33,44.3,1.75,12.42,1.81
2015,Chhattisgarh,CG,25.33,1.39,31.24,1.7,12.77,6.35
2008,Assam,AS,27.9,1.67,54.76,0.62,18.11,5.71
2016,Gujarat,GJ,57.49,4.54,41.57,0.83,18.18,32.17
2022,Tripura,TR,4.15,2.88,56.16,1.24,11.52,2.81
2023,Andhra Pradesh,AP,51.64,2.12,33.37,2.84,15.06,37.54
2017,Manipur,MN,3.91,3.02,68.62,1.06,11.66,3.27
2005,Uttarakhand,UK,11.58,1.85,27.05,1.07,11.24,2.05
2009,Jammu & Kashmir,JK,14.42,1.06,27.21,1.35,5.07,2.17
2020,Chhattisgarh,CG,27.61,3.78,61.3,3.0,22.21,61.24
